,latitude,longitude,county
351,38.89,-122.91,Lake County
352,39.34,-122.12,Colusa County
353,39.09,-119.93,Douglas County
354,37.74,-122.4,San Francisco County
355,37.39,-121.49,Santa Clara County
356,37.87,-120.56,Calaveras County
357,41.06,-122.03,Shasta County
358,41.0,-122.07,Shasta County
359,39.66,-122.61,Glenn County
360,39.66,-122.63,Glenn County
361,39.66,-122.62,Glenn County
362,39.59,-122.01,Butte County
363,39.67,-122.62,Glenn County
364,39.53,-122.16,Glenn County
365,39.57,-122.12,Glenn County
366,39.56,-122.06,Lake County
367,41.05,-121.11,Lassen County
368,39.58,-122.18,Glenn County
369,39.57,-122.14,Glenn County
370,39.59,-122.18,Glenn County
371,39.67,-122.61,Glenn County
372,39.46,-121.44,Butte County
373,41.08,-122.02,Shasta County
374,41.85,-121.35,Modoc County
375,38.83,-119.18,Lyon County
376,38.82,-119.18,Lyon County
377,41.07,-122.03,Shasta County
378,38.24,-120.26,Calaveras County
379,38.97,-123.43,Mendocino County
380,38.98,-123.43,Mendocino County
381,39.12,-123.1,Mendocino County
382,39.53,-123.6,Mendocino County
383,39.64,-123.62,Mendocino County
384,39.53,-123.59,Mendocino County
385,41.2,-123.93,Humboldt County
386,38.51,-121.19,Jackson County
387,41.06,-122.04,Shasta County
388,40.76,-122.21,Shasta County
389,41.11,-121.13,Lassen County
390,41.12,-121.14,Lassen County
391,41.54,-120.18,Modoc County
392,41.04,-122.04,Shasta County
393,40.98,-122.1,Shasta County
394,40.99,-122.1,Shasta County
395,40.99,-122.09,Shasta County
396,41.07,-122.11,Shasta County
397,41.0,-122.13,Shasta County
398,41.08,-122.32,Shasta County
399,41.08,-122.33,Siskiyou County
400,41.04,-122.03,Shasta County
401,41.74,-121.8,Siskiyou County
402,41.74,-121.81,Siskiyou County
403,41.06,-122.12,Shasta County
404,41.07,-122.12,Shasta County
405,41.07,-122.33,Shasta County
406,39.03,-121.92,Colusa County
407,37.33,-120.4,Merced County
408,38.73,-120.46,El Dorado County
409,37.82,-119.96,Tuolumne County
410,38.95,-121.29,Placer County
411,39.17,-121.74,Jackson County
412,38.1,-120.54,Calaveras County
413,38.08,-120.23,Tuolumne County
414,41.03,-122.03,Shasta County
415,41.03,-122.02,Shasta County
416,41.03,-122.04,Shasta County
417,39.31,-122.19,Colusa County
418,39.19,-121.9,Sutter County
419,39.41,-122.13,Colusa County
420,37.62,-121.32,San Joaquin County
421,39.99,-120.87,Klamath County
422,39.98,-120.88,Klamath County
423,39.51,-122.14,Glenn County
424,39.83,-122.01,Butte County
425,39.23,-122.12,Mendocino County
426,39.46,-121.98,Glenn County
427,37.68,-119.09,Mono County
428,40.77,-122.19,Shasta County
429,40.76,-122.2,Shasta County
430,40.75,-122.19,Shasta County
431,40.75,-122.18,Shasta County
432,40.45,-121.73,Tehama County
433,37.96,-121.2,San Joaquin County
434,37.45,-120.86,Stanislaus County
435,37.44,-120.58,Merced County
436,39.7,-120.43,Sierra County
437,39.54,-120.03,Sierra County
438,38.22,-120.23,Calaveras County
439,38.22,-120.24,Calaveras County
440,38.75,-120.68,El Dorado County
441,38.74,-120.68,El Dorado County
